,,,,
1,CO2 emission by generation of Electricity by Coal,820 g CO2 eq./kWh,,
2,CO2 emission by generation of Electricity by Solar,48 g CO2 eq./kWh,,
3,CO2 emission by burning 01 litre of Diesel,2.68 kg CO2 eq./Litre,,
4,CO2 emission by 01 kg of Explosive (ANFO),0.189 kg CO2 eq./Kg,,
